,scale,model,mean_train_r2,mean_train_mse,mean_train_mae,mean_cv_r2,std_cv_r2,p-value,external_score,external_p-value,mean_cv_mae,std_cv_mae,mean_cv_mse,std_cv_mse,parameters,best_estimator,PCA components num,ROI,split_1_r2,split_2_r2,split_3_r2,coef_1,coef_2,coef_3,coef_4
0,RRQ,kr,0.12556521506780316,-0.7039200199829536,-0.6624417805439801,0.06896046328464363,0.00709899473106934,0.003996003996003996,0.07052025912471005,0.017982017982017984,-0.6785089050428178,0.04633686118359478,-0.7448602441626644,0.06295712404188487,"{'kr__alpha': 2.6366508987303556e-05, 'kr__gamma': 0.00018329807108324357}","Pipeline(steps=[('features',
                 FeatureUnion(n_jobs=10,
                              transformer_list=[('ern_features',
                                                 Pipeline(steps=[('ern_data_extraction',
                                                                  ErnTransformer()),
                                                                 ('ern_amplitude',
                                                                  ErnAmplitude2()),
                                                                 ('data_channel_swap',
                                                                  ChannelDataSwap()),
                                                                 ('postprocessing',
                                                                  PostprocessingTransformer()),
                                                                 ('scaler',
                                                                  StandardScaler())]))])),
                ('kr',
                 KernelRidge(alpha=2.6366508987303556e-05,
                             gamma=0.00018329807108324357, kernel='rbf'))])",3,1,0.059233308681268415,0.07167219561534643,0.07597588555731605,,,,
1,RRQ,en,0.10430548172777691,-0.7206273806572469,-0.6817877238253415,0.054986927616471025,0.035304322467199334,0.008991008991008992,0.023258197923339607,0.10589410589410589,-0.6939989947135178,0.03820607647421094,-0.7547601554140281,0.052775584979168566,"{'en__alpha': 0.6951927961775606, 'en__l1_ratio': 0.01}","Pipeline(steps=[('features',
                 FeatureUnion(n_jobs=10,
                              transformer_list=[('ern_features',
                                                 Pipeline(steps=[('ern_data_extraction',
                                                                  ErnTransformer()),
                                                                 ('ern_amplitude',
                                                                  ErnAmplitude2()),
                                                                 ('data_channel_swap',
                                                                  ChannelDataSwap()),
                                                                 ('postprocessing',
                                                                  PostprocessingTransformer()),
                                                                 ('scaler',
                                                                  StandardScaler())]))])),
                ('en',
                 ElasticNet(alpha=0.6951927961775606, l1_ratio=0.01,
                            random_state=0))])",4,2,0.005565125701760154,0.07355723422724203,0.08583842292041088,0.08350487668727152,0.10064230886254596,-0.0,0.09634507637126931
2,DASS-21 Anx,kr,0.037890080471798614,-0.26706965758738344,-0.4217623945493815,-0.014750487318797837,0.07801627164071584,0.1258741258741259,-0.07795745778856511,0.5494505494505495,-0.4270433459787181,0.03720793065471461,-0.28140257767070354,0.07957822931074963,"{'kr__alpha': 0.4281332398719396, 'kr__gamma': 0.008858667904100823}","Pipeline(steps=[('features',
                 FeatureUnion(n_jobs=10,
                              transformer_list=[('ern_features',
                                                 Pipeline(steps=[('ern_data_extraction',
                                                                  ErnTransformer()),
                                                                 ('ern_amplitude',
                                                                  ErnAmplitude2()),
                                                                 ('data_channel_swap',
                                                                  ChannelDataSwap()),
                                                                 ('postprocessing',
                                                                  PostprocessingTransformer()),
                                                                 ('scaler',
                                                                  StandardScaler())]))])),
                ('kr',
                 KernelRidge(alpha=0.4281332398719396,
                             gamma=0.008858667904100823, kernel='rbf'))])",3,1,0.020476685573354025,-0.12291291516329683,0.058184767633549295,,,,
3,DASS-21 Anx,en,0.03351169929492374,-0.26790367492802475,-0.4237769411008378,-0.02176720607076532,0.04522442747106596,0.21178821178821178,-0.06746977888650862,0.7102897102897103,-0.42966563440550215,0.02957207507368634,-0.2812389437300257,0.06832490705690775,"{'en__alpha': 0.6951927961775606, 'en__l1_ratio': 1e-08}","Pipeline(steps=[('features',
                 FeatureUnion(n_jobs=10,
                              transformer_list=[('ern_features',
                                                 Pipeline(steps=[('ern_data_extraction',
                                                                  ErnTransformer()),
                                                                 ('ern_amplitude',
                                                                  ErnAmplitude2()),
                                                                 ('data_channel_swap',
                                                                  ChannelDataSwap()),
                                                                 ('postprocessing',
                                                                  PostprocessingTransformer()),
                                                                 ('scaler',
                                                                  StandardScaler())]))])),
                ('en',
                 ElasticNet(alpha=0.6951927961775606, l1_ratio=1e-08,
                            random_state=0))])",3,1,-0.022069915525863237,-0.0770036165569159,0.03377191387048317,-0.005054276314166163,0.043775183935753005,0.025503361953490403,
4,STAI-T,kr,0.2129169872325206,-71.75665534281576,-7.030636313664439,0.14273808948797118,0.039711935512208765,0.000999000999000999,-0.08749940756585883,0.37962037962037964,-7.314424356655565,0.41729872826581205,-77.9269685446697,6.327552831249698,"{'kr__alpha': 0.1623776739188721, 'kr__gamma': 0.003359818286283781}","Pipeline(steps=[('features',
                 FeatureUnion(n_jobs=10,
                              transformer_list=[('ern_features',
                                                 Pipeline(steps=[('ern_data_extraction',
                                                                  ErnTransformer()),
                                                                 ('ern_amplitude',
                                                                  ErnAmplitude2()),
                                                                 ('data_channel_swap',
                                                                  ChannelDataSwap()),
                                                                 ('postprocessing',
                                                                  PostprocessingTransformer()),
                                                                 ('scaler',
                                                                  StandardScaler())]))])),
                ('kr',
                 KernelRidge(alpha=0.1623776739188721,
                             gamma=0.003359818286283781, kernel='rbf'))])",4,2,0.11299844123693681,0.11634992378585252,0.1988659034411242,,,,
5,STAI-T,en,0.19810970758829963,-73.15328849623327,-7.117518779259261,0.13221941962303618,0.024043032708432843,0.000999000999000999,-0.04287422659969509,0.2987012987012987,-7.397197856636931,0.44212801902124005,-79.15146566358074,8.490229265537451,"{'en__alpha': 0.6951927961775606, 'en__l1_ratio': 0.31622776601683794}","Pipeline(steps=[('features',
                 FeatureUnion(n_jobs=10,
                              transformer_list=[('ern_features',
                                                 Pipeline(steps=[('ern_data_extraction',
                                                                  ErnTransformer()),
                                                                 ('ern_amplitude',
                                                                  ErnAmplitude2()),
                                                                 ('data_channel_swap',
                                                                  ChannelDataSwap()),
                                                                 ('postprocessing',
                                                                  PostprocessingTransformer()),
                                                                 ('scaler',
                                                                  StandardScaler())]))])),
                ('en',
                 ElasticNet(alpha=0.6951927961775606,
                            l1_ratio=0.31622776601683794, random_state=0))])",4,2,0.1386198567503254,0.10009901889947304,0.15793938321931011,1.056713259830772,1.2586265119354054,0.0,1.906893041268452
6,BIS,kr,0.1724410002332899,-0.2754555355278369,-0.4450356008738831,0.09359037847614038,0.09434182760466085,0.001998001998001998,-0.014924503311031012,0.2057942057942058,-0.47047512720833784,0.030260911729760438,-0.2976387060801995,0.03172403446947235,"{'kr__alpha': 0.0012742749857031334, 'kr__gamma': 0.0012742749857031334}","Pipeline(steps=[('features',
                 FeatureUnion(n_jobs=10,
                              transformer_list=[('ern_features',
                                                 Pipeline(steps=[('ern_data_extraction',
                                                                  ErnTransformer()),
                                                                 ('ern_amplitude',
                                                                  ErnAmplitude2()),
                                                                 ('data_channel_swap',
                                                                  ChannelDataSwap()),
                                                                 ('postprocessing',
                                                                  PostprocessingTransformer()),
                                                                 ('scaler',
                                                                  StandardScaler())]))])),
                ('kr',
                 KernelRidge(alpha=0.0012742749857031334,
                             gamma=0.0012742749857031334, kernel='rbf'))])",4,2,0.13284749192579692,0.18439157288922747,-0.03646792938660326,,,,
7,BIS,en,0.12593902908578625,-0.2914288025268332,-0.4576074199741318,0.09010125077301394,0.047986845104519345,0.001998001998001998,0.012885170276313307,0.12487512487512488,-0.4695221330852735,0.041989098585315285,-0.30090770813112355,0.039312803433870766,"{'en__alpha': 0.20691380811147903, 'en__l1_ratio': 1e-08}","Pipeline(steps=[('features',
                 FeatureUnion(n_jobs=10,
                              transformer_list=[('ern_features',
                                                 Pipeline(steps=[('ern_data_extraction',
                                                                  ErnTransformer()),
                                                                 ('ern_amplitude',
                                                                  ErnAmplitude2()),
                                                                 ('data_channel_swap',
                                                                  ChannelDataSwap()),
                                                                 ('postprocessing',
                                                                  PostprocessingTransformer()),
                                                                 ('scaler',
                                                                  StandardScaler())]))])),
                ('en',
                 ElasticNet(alpha=0.20691380811147903, l1_ratio=1e-08,
                            random_state=0))])",4,2,0.11557363280683963,0.1318395883889385,0.02289053112326367,0.06966153627422138,0.05232141139429109,-0.007019437703090262,0.12631909606813105
8,Washing,en,0.0,-0.7298139485677083,-0.697080078125,-0.04838723188217364,0.032911730990184754,0.6253746253746254,-0.0006501130685254708,0.7332667332667333,-0.71533203125,0.049023266309462,-0.7533904134114583,0.06147759464309114,"{'en__alpha': 0.20691380811147903, 'en__l1_ratio': 1.0}","Pipeline(steps=[('features',
                 FeatureUnion(n_jobs=10,
                              transformer_list=[('ern_features',
                                                 Pipeline(steps=[('ern_data_extraction',
                                                                  ErnTransformer()),
                                                                 ('ern_amplitude',
                                                                  ErnAmplitude2()),
                                                                 ('data_channel_swap',
                                                                  ChannelDataSwap()),
                                                                 ('postprocessing',
                                                                  PostprocessingTransformer()),
                                                                 ('scaler',
                                                                  StandardScaler())]))])),
                ('en',
                 ElasticNet(alpha=0.20691380811147903, l1_ratio=1.0,
                            random_state=0))])",3,1,-0.061413141982412656,-0.0031765081017927077,-0.08057204556231556,-0.0,-0.0,0.0,
9,Washing,kr,0.0006460119327087085,-0.7293333011579959,-0.6957396872717024,-0.04881795091790638,0.03180886807075428,0.6323676323676324,-0.000599229233738896,0.5954045954045954,-0.7143120816520289,0.04796908296312958,-0.7535821776987089,0.0596304812532382,"{'kr__alpha': 0.1623776739188721, 'kr__gamma': 1e-05}","Pipeline(steps=[('features',
                 FeatureUnion(n_jobs=10,
                              transformer_list=[('ern_features',
                                                 Pipeline(steps=[('ern_data_extraction',
                                                                  ErnTransformer()),
                                                                 ('ern_amplitude',
                                                                  ErnAmplitude2()),
                                                                 ('data_channel_swap',
                                                                  ChannelDataSwap()),
                                                                 ('postprocessing',
                                                                  PostprocessingTransformer()),
                                                                 ('scaler',
                                                                  StandardScaler())]))])),
                ('kr',
                 KernelRidge(alpha=0.1623776739188721, gamma=1e-05,
                             kernel='rbf'))])",3,2,-0.06457544124653203,-0.004449724312753256,-0.07742868719443385,,,,
10,Obsessing,kr,0.09264730378409698,-1.1207880464326998,-0.8998147406737536,0.030010501822999247,0.050318421561705844,0.015984015984015984,0.006547544598242916,0.21478521478521478,-0.9291740833248433,0.04581206715603904,-1.1969958238734746,0.14198285777067843,"{'kr__alpha': 0.4281332398719396, 'kr__gamma': 0.023357214690901212}","Pipeline(steps=[('features',
                 FeatureUnion(n_jobs=10,
                              transformer_list=[('ern_features',
                                                 Pipeline(steps=[('ern_data_extraction',
                                                                  ErnTransformer()),
                                                                 ('ern_amplitude',
                                                                  ErnAmplitude2()),
                                                                 ('data_channel_swap',
                                                                  ChannelDataSwap()),
                                                                 ('postprocessing',
                                                                  PostprocessingTransformer()),
                                                                 ('scaler',
                                                                  StandardScaler())]))])),
                ('kr',
                 KernelRidge(alpha=0.4281332398719396,
                             gamma=0.023357214690901212, kernel='rbf'))])",3,1,0.09865925787031105,-0.02054429648356426,0.011916544082250957,,,,
11,Obsessing,en,0.04309178309972065,-1.1812946799611648,-0.9226749573021159,0.014134954796934643,0.007855740511800617,0.022977022977022976,-0.006860070785155381,0.4405594405594406,-0.9317402586434705,0.0234807465005974,-1.2140606613391076,0.10771527372788946,"{'en__alpha': 2.3357214690901213, 'en__l1_ratio': 1e-08}","Pipeline(steps=[('features',
                 FeatureUnion(n_jobs=10,
                              transformer_list=[('ern_features',
                                                 Pipeline(steps=[('ern_data_extraction',
                                                                  ErnTransformer()),
                                                                 ('ern_amplitude',
                                                                  ErnAmplitude2()),
                                                                 ('data_channel_swap',
                                                                  ChannelDataSwap()),
                                                                 ('postprocessing',
                                                                  PostprocessingTransformer()),
                                                                 ('scaler',
                                                                  StandardScaler())]))])),
                ('en',
                 ElasticNet(alpha=2.3357214690901213, l1_ratio=1e-08,
                            random_state=0))])",3,2,0.008504923259614605,0.02524430882429285,0.008655632306896477,0.0667198980074866,0.027016651611738704,0.04706915843678856,
12,Hoarding,kr,0.1794453031083446,-0.7586129997716852,-0.7015987880966833,0.0035054465265117463,0.056167176833269376,0.012987012987012988,-0.23221568787050595,0.5214785214785215,-0.7723919070932849,0.1104949196532623,-0.9123043309660703,0.25687637018066833,"{'kr__alpha': 1e-05, 'kr__gamma': 0.0004832930238571752}","Pipeline(steps=[('features',
                 FeatureUnion(n_jobs=10,
                              transformer_list=[('ern_features',
                                                 Pipeline(steps=[('ern_data_extraction',
                                                                  ErnTransformer()),
                                                                 ('ern_amplitude',
                                                                  ErnAmplitude2()),
                                                                 ('data_channel_swap',
                                                                  ChannelDataSwap()),
                                                                 ('postprocessing',
                                                                  PostprocessingTransformer()),
                                                                 ('scaler',
                                                                  StandardScaler())]))])),
                ('kr',
                 KernelRidge(alpha=1e-05, gamma=0.0004832930238571752,
                             kernel='rbf'))])",3,2,0.044880037812113804,0.04153982513684884,-0.0759035233694274,,,,
13,Hoarding,en,0.004737901988875581,-0.9239785656339911,-0.7846378016798097,4.906135166119855e-05,0.0014830561416832935,0.016983016983016984,-0.12511405007703247,0.6983016983016983,-0.7864909824836386,0.15090469435358045,-0.9281447133803612,0.2935010468339791,"{'en__alpha': 26.366508987303554, 'en__l1_ratio': 0.001}","Pipeline(steps=[('features',
                 FeatureUnion(n_jobs=10,
                              transformer_list=[('ern_features',
                                                 Pipeline(steps=[('ern_data_extraction',
                                                                  ErnTransformer()),
                                                                 ('ern_amplitude',
                                                                  ErnAmplitude2()),
                                                                 ('data_channel_swap',
                                                                  ChannelDataSwap()),
                                                                 ('postprocessing',
                                                                  PostprocessingTransformer()),
                                                                 ('scaler',
                                                                  StandardScaler())]))])),
                ('en',
                 ElasticNet(alpha=26.366508987303554, l1_ratio=0.001,
                            random_state=0))])",4,2,0.0012972533837072309,0.0008846556341020051,-0.0020347249628256403,0.0005253443080635079,-0.0023600230255941576,0.0016490158343760142,0.006349089985395403
14,Ordering,kr,0.0928125881482285,-1.256150928214881,-0.933472305247698,0.004296106977318193,0.1004682646365946,0.056943056943056944,-0.10393281404615995,0.8901098901098901,-0.9655344389611855,0.09092634815539263,-1.3483330519183159,0.19731019900311653,"{'kr__alpha': 0.00018329807108324357, 'kr__gamma': 1e-05}","Pipeline(steps=[('features',
                 FeatureUnion(n_jobs=10,
                              transformer_list=[('ern_features',
                                                 Pipeline(steps=[('ern_data_extraction',
                                                                  ErnTransformer()),
                                                                 ('ern_amplitude',
                                                                  ErnAmplitude2()),
                                                                 ('data_channel_swap',
                                                                  ChannelDataSwap()),
                                                                 ('postprocessing',
                                                                  PostprocessingTransformer()),
                                                                 ('scaler',
                                                                  StandardScaler())]))])),
                ('kr',
                 KernelRidge(alpha=0.00018329807108324357, gamma=1e-05,
                             kernel='rbf'))])",4,1,-0.1359053291908474,0.05443495463498438,0.09435869548781761,,,,
