,pipeline,internal_variance
0,ern-ROI 1 train,0.9354078366357897
1,ern-ROI 1 train,0.7206674488535187
2,ern-ROI 1 train,0.6171786904035771
3,ern-ROI 1 train,0.9726167528168755
4,ern-ROI 1 train,0.8002535370028626
5,ern-ROI 1 train,0.9233748520574644
6,ern-ROI 1 train,0.9117070289638587
7,ern-ROI 1 train,0.8069048526863887
8,ern-ROI 1 train,0.65470343166265
9,ern-ROI 1 train,0.9730644321100893
10,ern-ROI 1 train,0.9046985682832802
11,ern-ROI 1 train,0.9197547509770361
12,ern-ROI 1 train,0.7910730750013205
13,ern-ROI 1 train,0.6557952061661695
14,ern-ROI 1 train,0.9495314720936255
15,ern-ROI 1 train,0.8985528438080039
16,ern-ROI 1 train,0.882529081311242
17,ern-ROI 1 train,0.9088038535124766
18,ern-ROI 1 train,0.8051392450651501
19,ern-ROI 1 train,0.7668970371271508
20,ern-ROI 1 train,0.9037107708244958
21,ern-ROI 1 train,0.8081887602052338
22,ern-ROI 1 train,0.9457093779062169
23,ern-ROI 1 train,0.7666219871545177
24,ern-ROI 1 train,0.857563771577707
25,ern-ROI 1 train,0.8765784555555748
26,ern-ROI 1 train,0.8048517396749381
27,ern-ROI 1 train,0.9380561684963687
28,ern-ROI 1 train,0.8878445286271558
29,ern-ROI 1 train,0.9432648707445211
30,ern-ROI 1 train,0.6874707779024343
31,ern-ROI 1 train,0.8230209501277875
32,ern-ROI 1 train,0.690069376774015
33,ern-ROI 1 train,0.7267221677182468
34,ern-ROI 1 train,0.9193743976929388
35,ern-ROI 1 train,0.9663835945126286
36,ern-ROI 1 train,0.7406970136088038
37,ern-ROI 1 train,0.9273272310299331
38,ern-ROI 1 train,0.9377999333170449
39,ern-ROI 1 train,0.9754300172796828
40,ern-ROI 1 train,0.8676455949509052
41,ern-ROI 1 train,0.9192445252068906
42,ern-ROI 1 train,0.5444102088096296
43,ern-ROI 1 train,0.8753276886740112
44,ern-ROI 1 train,0.6460142235778712
45,ern-ROI 1 train,0.9796339371343624
46,ern-ROI 1 train,0.9240761599851662
47,ern-ROI 1 train,0.9576889082448652
48,ern-ROI 1 train,0.9109843213988389
49,ern-ROI 1 train,0.8726218098540865
50,ern-ROI 1 train,0.5930112856087708
51,ern-ROI 1 train,0.8168410095509535
52,ern-ROI 1 train,0.9548023887303951
53,ern-ROI 1 train,0.8834623552351585
54,ern-ROI 1 train,0.8135130700005876
55,ern-ROI 1 train,0.8957561954313256
56,ern-ROI 1 train,0.891085295981314
57,ern-ROI 1 train,0.7115886517803912
58,ern-ROI 1 train,0.9512938178885827
59,ern-ROI 1 train,0.8001548347743177
60,ern-ROI 1 train,0.786314583583354
61,ern-ROI 1 train,0.7045381115954336
62,ern-ROI 1 train,0.9549581053300891
63,ern-ROI 1 train,0.8956572092484686
64,ern-ROI 1 train,0.6083778311911116
65,ern-ROI 1 train,0.9238107604442337
66,ern-ROI 1 train,0.9453733329666494
67,ern-ROI 1 train,0.9466337990406624
68,ern-ROI 1 train,0.9322814121842745
69,ern-ROI 1 train,0.7597245899782297
70,ern-ROI 1 train,0.8477161604988762
71,ern-ROI 1 train,0.9388167496116101
72,ern-ROI 1 train,0.9694437397320783
73,ern-ROI 1 train,0.9101566842174739
74,ern-ROI 1 train,0.9544486731681018
75,ern-ROI 1 train,0.9367841585445725
76,ern-ROI 1 train,0.927292272569019
77,ern-ROI 1 train,0.9647661538363023
78,ern-ROI 1 train,0.860071314520378
79,ern-ROI 1 train,0.789808178311132
80,ern-ROI 1 train,0.650103638792471
81,ern-ROI 1 train,0.8234842813000032
82,ern-ROI 1 train,0.9632271593610389
83,ern-ROI 1 train,0.6599595782108973
84,ern-ROI 1 train,0.7653799206675692
85,ern-ROI 1 train,0.7410511126695698
86,ern-ROI 1 train,0.9721455639310833
87,ern-ROI 1 train,0.8383105840434987
88,ern-ROI 1 train,0.9583844530715421
89,ern-ROI 1 train,0.8874377748414638
90,ern-ROI 1 train,0.9470053031772077
91,ern-ROI 1 train,0.8420799028988701
92,ern-ROI 1 train,0.9612633761930894
93,ern-ROI 1 train,0.9301332115786162
94,ern-ROI 1 train,0.6836931557169211
95,ern-ROI 1 train,0.8822415854351969
96,ern-ROI 2 train,0.929877263339534
97,ern-ROI 2 train,0.7093304956219836
98,ern-ROI 2 train,0.6341543450150322
99,ern-ROI 2 train,0.9768394930021251
100,ern-ROI 2 train,0.8000840219833092
101,ern-ROI 2 train,0.9216181629559245
102,ern-ROI 2 train,0.9099684560759281
103,ern-ROI 2 train,0.7981001931948889
104,ern-ROI 2 train,0.6645557352779151
105,ern-ROI 2 train,0.9735291614028693
106,ern-ROI 2 train,0.9018082994261893
107,ern-ROI 2 train,0.9219971900188173
108,ern-ROI 2 train,0.7952094350864592
109,ern-ROI 2 train,0.6559458372149797
110,ern-ROI 2 train,0.9484112976766139
111,ern-ROI 2 train,0.883001717169378
112,ern-ROI 2 train,0.8681518641849687
113,ern-ROI 2 train,0.9085021193470818
114,ern-ROI 2 train,0.8132641067794395
115,ern-ROI 2 train,0.7611178454741477
116,ern-ROI 2 train,0.9451003667536101
117,ern-ROI 2 train,0.8166062834562455
118,ern-ROI 2 train,0.9377889742977041
119,ern-ROI 2 train,0.7890704295869627
120,ern-ROI 2 train,0.8473277139829886
121,ern-ROI 2 train,0.8690803789470826
122,ern-ROI 2 train,0.7659858515658563
123,ern-ROI 2 train,0.9476532204666105
124,ern-ROI 2 train,0.8961320388708048
125,ern-ROI 2 train,0.9525647228500449
126,ern-ROI 2 train,0.6755942764998435
127,ern-ROI 2 train,0.8302330899882024
128,ern-ROI 2 train,0.689270356142722
129,ern-ROI 2 train,0.7541932741347575
130,ern-ROI 2 train,0.926833900311261
131,ern-ROI 2 train,0.9680974299638693
132,ern-ROI 2 train,0.7622856195380956
133,ern-ROI 2 train,0.911735390492099
134,ern-ROI 2 train,0.9312500032918796
135,ern-ROI 2 train,0.9766270837803395
136,ern-ROI 2 train,0.8644818258689763
137,ern-ROI 2 train,0.9073869503637728
138,ern-ROI 2 train,0.532643300074683
139,ern-ROI 2 train,0.880561682492668
140,ern-ROI 2 train,0.6606928981422765
141,ern-ROI 2 train,0.9795490419492126
142,ern-ROI 2 train,0.9260255796095774
143,ern-ROI 2 train,0.9575498393265696
144,ern-ROI 2 train,0.9134355891059135
145,ern-ROI 2 train,0.8775567317170678
146,ern-ROI 2 train,0.6216075109867725
147,ern-ROI 2 train,0.8294263008888811
148,ern-ROI 2 train,0.950117406598725
149,ern-ROI 2 train,0.8899822943687467
150,ern-ROI 2 train,0.8123107730579107
151,ern-ROI 2 train,0.8976113736027357
152,ern-ROI 2 train,0.9059550861558222
153,ern-ROI 2 train,0.7316560604709238
154,ern-ROI 2 train,0.9476316822825235
155,ern-ROI 2 train,0.7562325047819367
156,ern-ROI 2 train,0.7078634515749982
157,ern-ROI 2 train,0.730859727763863
158,ern-ROI 2 train,0.9404100341680952
159,ern-ROI 2 train,0.900150484392642
160,ern-ROI 2 train,0.6143206693272474
161,ern-ROI 2 train,0.9277335016901945
162,ern-ROI 2 train,0.9404354155464162
163,ern-ROI 2 train,0.9482426920232607
164,ern-ROI 2 train,0.9322531264769597
165,ern-ROI 2 train,0.754376495752779
166,ern-ROI 2 train,0.8496179422050811
167,ern-ROI 2 train,0.9288136130168
168,ern-ROI 2 train,0.9563192444785253
169,ern-ROI 2 train,0.9118616745153479
170,ern-ROI 2 train,0.9489933896978134
171,ern-ROI 2 train,0.9359879012831271
172,ern-ROI 2 train,0.9264849054409151
173,ern-ROI 2 train,0.98015692373154
174,ern-ROI 2 train,0.8434655498414392
175,ern-ROI 2 train,0.7586337097366264
176,ern-ROI 2 train,0.6158138164858219
177,ern-ROI 2 train,0.7913906195535082
178,ern-ROI 2 train,0.9779019130884624
179,ern-ROI 2 train,0.6556537438317787
180,ern-ROI 2 train,0.7639200577162568
181,ern-ROI 2 train,0.7479569630959817
182,ern-ROI 2 train,0.9719341378170196
183,ern-ROI 2 train,0.8360837715239394
184,ern-ROI 2 train,0.9584556282173493
185,ern-ROI 2 train,0.8912508942760289
186,ern-ROI 2 train,0.9450989581252748
187,ern-ROI 2 train,0.8538903433071976
188,ern-ROI 2 train,0.9607138220887261
189,ern-ROI 2 train,0.935010146384689
190,ern-ROI 2 train,0.6760111872954115
191,ern-ROI 2 train,0.8794083333587163
192,pe-ROI 3 train,0.8123765526819386
193,pe-ROI 3 train,0.6919403989908108
194,pe-ROI 3 train,0.7024460053930419
195,pe-ROI 3 train,0.9663476982528252
196,pe-ROI 3 train,0.8794929351597318
197,pe-ROI 3 train,0.9691219484202164
198,pe-ROI 3 train,0.9025869406630885
199,pe-ROI 3 train,0.8988647769687678
200,pe-ROI 3 train,0.7727045169889412
201,pe-ROI 3 train,0.9714955127876671
202,pe-ROI 3 train,0.9336003629272649
203,pe-ROI 3 train,0.9523165637992568
204,pe-ROI 3 train,0.6331857505922545
205,pe-ROI 3 train,0.5925402264143509
206,pe-ROI 3 train,0.9605784135870963
207,pe-ROI 3 train,0.9343987085600564
208,pe-ROI 3 train,0.8461775558744762
209,pe-ROI 3 train,0.9647914720251661
210,pe-ROI 3 train,0.9160223236110343
211,pe-ROI 3 train,0.7889903143833914
212,pe-ROI 3 train,0.9338966402556823
213,pe-ROI 3 train,0.8566656539542488
214,pe-ROI 3 train,0.9118014844105894
215,pe-ROI 3 train,0.889841230408059
216,pe-ROI 3 train,0.9039112024388396
217,pe-ROI 3 train,0.9275935615253348
218,pe-ROI 3 train,0.86929231936987
219,pe-ROI 3 train,0.9464000392274413
220,pe-ROI 3 train,0.8792001944065185
221,pe-ROI 3 train,0.9239785741038171
222,pe-ROI 3 train,0.843568348528654
223,pe-ROI 3 train,0.7962002176243781
224,pe-ROI 3 train,0.8049155691199052
225,pe-ROI 3 train,0.8635032906179781
226,pe-ROI 3 train,0.9860168874024415
227,pe-ROI 3 train,0.9623919281492423
228,pe-ROI 3 train,0.7811963498925922
229,pe-ROI 3 train,0.9261224759088833
230,pe-ROI 3 train,0.9277650317528986
231,pe-ROI 3 train,0.9777156967146855
232,pe-ROI 3 train,0.9368710387924085
233,pe-ROI 3 train,0.944518980101363
234,pe-ROI 3 train,0.6188565000747372
235,pe-ROI 3 train,0.9266371218967874
236,pe-ROI 3 train,0.785500217263235
237,pe-ROI 3 train,0.9819287902684172
238,pe-ROI 3 train,0.9048448844636852
239,pe-ROI 3 train,0.9749309015808483
240,pe-ROI 3 train,0.9519217683783648
241,pe-ROI 3 train,0.9028383540739827
242,pe-ROI 3 train,0.71076562137168
243,pe-ROI 3 train,0.8405454492117619
244,pe-ROI 3 train,0.8338548313502193
245,pe-ROI 3 train,0.9304036449740416
246,pe-ROI 3 train,0.8525781539499374
247,pe-ROI 3 train,0.9133593197134582
248,pe-ROI 3 train,0.8841117612627051
249,pe-ROI 3 train,0.8715568642237199
250,pe-ROI 3 train,0.9659437950877489
251,pe-ROI 3 train,0.9568736842390027
252,pe-ROI 3 train,0.9260326660574136
253,pe-ROI 3 train,0.8738564729421142
254,pe-ROI 3 train,0.8216147592002185
255,pe-ROI 3 train,0.912076640340243
256,pe-ROI 3 train,0.7192733402131777
257,pe-ROI 3 train,0.923834634212569
258,pe-ROI 3 train,0.9556200873257523
259,pe-ROI 3 train,0.9239868169131178
260,pe-ROI 3 train,0.9476938368797484
261,pe-ROI 3 train,0.8030020772829854
262,pe-ROI 3 train,0.891399659003349
263,pe-ROI 3 train,0.9477542652813944
264,pe-ROI 3 train,0.9671662540647625
265,pe-ROI 3 train,0.9592685402188216
266,pe-ROI 3 train,0.967647551078079
267,pe-ROI 3 train,0.9260609751107732
268,pe-ROI 3 train,0.9588280688404462
269,pe-ROI 3 train,0.9080295529030301
270,pe-ROI 3 train,0.919056265207846
271,pe-ROI 3 train,0.8600466156105417
272,pe-ROI 3 train,0.9330556235108335
273,pe-ROI 3 train,0.8693412221507916
274,pe-ROI 3 train,0.958684178096893
275,pe-ROI 3 train,0.6902143300251757
276,pe-ROI 3 train,0.8092259611540429
277,pe-ROI 3 train,0.8389012196701098
278,pe-ROI 3 train,0.9784748113813757
279,pe-ROI 3 train,0.8419938156825851
280,pe-ROI 3 train,0.9644113536947325
281,pe-ROI 3 train,0.9200681823198038
282,pe-ROI 3 train,0.9681106833266201
283,pe-ROI 3 train,0.9114105550119723
284,pe-ROI 3 train,0.9546469842185256
285,pe-ROI 3 train,0.8940983332909822
286,pe-ROI 3 train,0.8241574349889687
287,pe-ROI 3 train,0.9356657642340621
288,pe-ROI 4 train,0.7971171206118692
289,pe-ROI 4 train,0.694226952302335
290,pe-ROI 4 train,0.7001644001006833
291,pe-ROI 4 train,0.9660196496896436
292,pe-ROI 4 train,0.8978637009026296
293,pe-ROI 4 train,0.9695296515262741
294,pe-ROI 4 train,0.9116356048898561
295,pe-ROI 4 train,0.8963550046444612
296,pe-ROI 4 train,0.7840691640127074
297,pe-ROI 4 train,0.9736203290576009
298,pe-ROI 4 train,0.9376386998927356
299,pe-ROI 4 train,0.9517654231853852
300,pe-ROI 4 train,0.6610030814447622
301,pe-ROI 4 train,0.5925229807071278
302,pe-ROI 4 train,0.9555600741135442
303,pe-ROI 4 train,0.9311347622674908
304,pe-ROI 4 train,0.8231178800969239
305,pe-ROI 4 train,0.9688818059926857
306,pe-ROI 4 train,0.9191608558634677
307,pe-ROI 4 train,0.7691942285448882
308,pe-ROI 4 train,0.9292121099542333
309,pe-ROI 4 train,0.8571969498405378
310,pe-ROI 4 train,0.9267044804175065
311,pe-ROI 4 train,0.886192468919666
312,pe-ROI 4 train,0.920336278419693
313,pe-ROI 4 train,0.9258598395438603
314,pe-ROI 4 train,0.8654127782202533
315,pe-ROI 4 train,0.9473125357480872
316,pe-ROI 4 train,0.8516653118792389
317,pe-ROI 4 train,0.9213578880637022
318,pe-ROI 4 train,0.8313900122491401
319,pe-ROI 4 train,0.8009458947635122
320,pe-ROI 4 train,0.788351151618627
321,pe-ROI 4 train,0.8641974205047884
322,pe-ROI 4 train,0.9837692219216978
323,pe-ROI 4 train,0.9646041193218795
324,pe-ROI 4 train,0.7919679380613722
325,pe-ROI 4 train,0.923818371328115
326,pe-ROI 4 train,0.9294772434925038
327,pe-ROI 4 train,0.9780340452305544
328,pe-ROI 4 train,0.9539059545116987
329,pe-ROI 4 train,0.9501426481185767
330,pe-ROI 4 train,0.5887767725136676
331,pe-ROI 4 train,0.9300192346432662
332,pe-ROI 4 train,0.8035044913269198
333,pe-ROI 4 train,0.9830334155761293
334,pe-ROI 4 train,0.904434748448557
335,pe-ROI 4 train,0.9704449813134556
336,pe-ROI 4 train,0.9543728311185918
337,pe-ROI 4 train,0.8993299497099962
338,pe-ROI 4 train,0.736451321863679
339,pe-ROI 4 train,0.8185602996068037
340,pe-ROI 4 train,0.8380612294323081
341,pe-ROI 4 train,0.9265647830349453
342,pe-ROI 4 train,0.8433253688902814
343,pe-ROI 4 train,0.9131562045149304
344,pe-ROI 4 train,0.8933074068420822
345,pe-ROI 4 train,0.8733943921081085
346,pe-ROI 4 train,0.9637130610907932
347,pe-ROI 4 train,0.9604158224207722
348,pe-ROI 4 train,0.9258144334663646
349,pe-ROI 4 train,0.7933758957310666
350,pe-ROI 4 train,0.7798372811608191
351,pe-ROI 4 train,0.9229931712899596
352,pe-ROI 4 train,0.7406219594384725
353,pe-ROI 4 train,0.9249167587216527
354,pe-ROI 4 train,0.9554360024889784
355,pe-ROI 4 train,0.9193345438935216
356,pe-ROI 4 train,0.9511841998152046
357,pe-ROI 4 train,0.8050992690797515
358,pe-ROI 4 train,0.8924334168620264
359,pe-ROI 4 train,0.9432295673522433
360,pe-ROI 4 train,0.969120455458951
361,pe-ROI 4 train,0.9642112930933453
362,pe-ROI 4 train,0.9682671398676171
363,pe-ROI 4 train,0.9236927468994119
364,pe-ROI 4 train,0.9629096183036926
365,pe-ROI 4 train,0.9146864052574699
366,pe-ROI 4 train,0.9114342030851569
367,pe-ROI 4 train,0.8630422594144308
368,pe-ROI 4 train,0.9425400391224695
369,pe-ROI 4 train,0.8497468693441881
370,pe-ROI 4 train,0.9640976946337781
371,pe-ROI 4 train,0.6941583037647945
372,pe-ROI 4 train,0.8239229802607461
373,pe-ROI 4 train,0.8355175828734096
374,pe-ROI 4 train,0.9820066811009637
375,pe-ROI 4 train,0.8379028681271945
376,pe-ROI 4 train,0.9646071274810212
377,pe-ROI 4 train,0.917674155227009
378,pe-ROI 4 train,0.9696286794529057
379,pe-ROI 4 train,0.9101134677845555
380,pe-ROI 4 train,0.9548188071990935
381,pe-ROI 4 train,0.88639601121135
382,pe-ROI 4 train,0.8233274042814035
383,pe-ROI 4 train,0.9374302288501319
384,ern-ROI 1 test,0.8144279135985464
385,ern-ROI 1 test,0.8181444322448546
386,ern-ROI 1 test,0.8203268861561673
387,ern-ROI 1 test,0.8593392128839143
388,ern-ROI 1 test,0.7151265050350218
389,ern-ROI 1 test,0.9382555215328199
390,ern-ROI 1 test,0.7468492194910515
391,ern-ROI 1 test,0.8321178571980492
392,ern-ROI 1 test,0.8571677146934361
393,ern-ROI 1 test,0.8906064595316338
394,ern-ROI 1 test,0.9182278854083085
395,ern-ROI 1 test,0.9527046730694342
396,ern-ROI 1 test,0.7392655134477163
397,ern-ROI 1 test,0.8250151107867123
398,ern-ROI 1 test,0.8719715935965967
399,ern-ROI 1 test,0.8404808663476249
400,ern-ROI 1 test,0.7849400374513951
401,ern-ROI 1 test,0.9806966441445515
402,ern-ROI 1 test,0.8373613768430389
403,ern-ROI 1 test,0.8712005356762125
404,ern-ROI 1 test,0.9183568944314453
405,ern-ROI 1 test,0.727617417067867
406,ern-ROI 1 test,0.9522170958610103
407,ern-ROI 1 test,0.8639677574124064
408,ern-ROI 1 test,0.7976827017287118
409,ern-ROI 1 test,0.8975980421691534
410,ern-ROI 1 test,0.9030766763144477
411,ern-ROI 1 test,0.8778980512162194
412,ern-ROI 1 test,0.8604993965700892
413,ern-ROI 1 test,0.8009213953626618
414,ern-ROI 1 test,0.8225527114013935
415,ern-ROI 1 test,0.7240399463345494
416,ern-ROI 1 test,0.9018611808876508
417,ern-ROI 1 test,0.9600687325385111
418,ern-ROI 2 test,0.8201671691964014
419,ern-ROI 2 test,0.8408708502971471
420,ern-ROI 2 test,0.8200128061389292
421,ern-ROI 2 test,0.8580533432616839
422,ern-ROI 2 test,0.8538688108096059
423,ern-ROI 2 test,0.9172406266046689
424,ern-ROI 2 test,0.7517709805758181
425,ern-ROI 2 test,0.8524099549917815
426,ern-ROI 2 test,0.8790843723631657
427,ern-ROI 2 test,0.9051030587828097
428,ern-ROI 2 test,0.9044591243641092
429,ern-ROI 2 test,0.9554906650194509
430,ern-ROI 2 test,0.7748533774173267
431,ern-ROI 2 test,0.8290990853847995
432,ern-ROI 2 test,0.8767316154587957
433,ern-ROI 2 test,0.8381257094445445
434,ern-ROI 2 test,0.7958415489448672
435,ern-ROI 2 test,0.9804698255698232
436,ern-ROI 2 test,0.8564617994594838
437,ern-ROI 2 test,0.8817546751182854
438,ern-ROI 2 test,0.914272311828148
439,ern-ROI 2 test,0.735211984760145
440,ern-ROI 2 test,0.9594175713818034
441,ern-ROI 2 test,0.8758747383607827
442,ern-ROI 2 test,0.8072710509559805
443,ern-ROI 2 test,0.8934107518849914
444,ern-ROI 2 test,0.9123098592665404
445,ern-ROI 2 test,0.8917332983484494
446,ern-ROI 2 test,0.876305506739704
447,ern-ROI 2 test,0.8216095875522287
448,ern-ROI 2 test,0.8486801297583192
449,ern-ROI 2 test,0.7573741302176044
450,ern-ROI 2 test,0.9069171476641004
451,ern-ROI 2 test,0.9632832742818559
452,pe-ROI 3 test,0.751168409270937
453,pe-ROI 3 test,0.7768082841903757
454,pe-ROI 3 test,0.835047706978965
455,pe-ROI 3 test,0.7886834605354625
456,pe-ROI 3 test,0.628677994019133
457,pe-ROI 3 test,0.6446786420160312
458,pe-ROI 3 test,0.713970144340008
459,pe-ROI 3 test,0.8730105808731822
460,pe-ROI 3 test,0.7268275826392321
461,pe-ROI 3 test,0.9550227432989258
462,pe-ROI 3 test,0.867511377077695
463,pe-ROI 3 test,0.926519197961426
464,pe-ROI 3 test,0.8633035224892907
465,pe-ROI 3 test,0.8488388857863192
466,pe-ROI 3 test,0.7620567345973571
467,pe-ROI 3 test,0.9222017101557687
468,pe-ROI 3 test,0.8543424065040762
469,pe-ROI 3 test,0.8970525184975071
470,pe-ROI 3 test,0.8453659122713933
471,pe-ROI 3 test,0.8221304933345267
472,pe-ROI 3 test,0.8316373415840739
473,pe-ROI 3 test,0.7171616702802959
474,pe-ROI 3 test,0.9280846439130584
475,pe-ROI 3 test,0.9343476259598474
476,pe-ROI 3 test,0.6410553035896589
477,pe-ROI 3 test,0.9447364874429094
478,pe-ROI 3 test,0.8507896475345782
479,pe-ROI 3 test,0.8675401039871339
480,pe-ROI 3 test,0.8524476365626389
481,pe-ROI 3 test,0.7896236001867827
482,pe-ROI 3 test,0.8673460955972372
483,pe-ROI 3 test,0.8247153644238105
484,pe-ROI 3 test,0.9404706046734234
485,pe-ROI 3 test,0.9210611448048064
486,pe-ROI 4 test,0.7800964877511501
487,pe-ROI 4 test,0.8204834743257179
488,pe-ROI 4 test,0.8976517777632403
489,pe-ROI 4 test,0.7934587055080327
490,pe-ROI 4 test,0.672477440683439
491,pe-ROI 4 test,0.7426811420981365
492,pe-ROI 4 test,0.7707876161211591
493,pe-ROI 4 test,0.8951145516710336
494,pe-ROI 4 test,0.7804845832142446
495,pe-ROI 4 test,0.9207823911423979
496,pe-ROI 4 test,0.8951695149305889
497,pe-ROI 4 test,0.94276334185595
498,pe-ROI 4 test,0.9271922704988897
499,pe-ROI 4 test,0.8764714551191014
500,pe-ROI 4 test,0.8037829106900202
501,pe-ROI 4 test,0.9352499135415191
502,pe-ROI 4 test,0.9057408275846843
503,pe-ROI 4 test,0.9007638529437906
504,pe-ROI 4 test,0.8919403377998784
505,pe-ROI 4 test,0.8554200850413066
506,pe-ROI 4 test,0.8606219040292676
507,pe-ROI 4 test,0.7694215756549017
508,pe-ROI 4 test,0.9419535237800275
509,pe-ROI 4 test,0.9735922273731122
510,pe-ROI 4 test,0.7014843420215898
511,pe-ROI 4 test,0.9621611980497151
512,pe-ROI 4 test,0.8809465698861132
513,pe-ROI 4 test,0.8998112159523823
514,pe-ROI 4 test,0.8963164511146351
515,pe-ROI 4 test,0.8243274569351096
516,pe-ROI 4 test,0.8947537099085665
517,pe-ROI 4 test,0.8364079521636919
518,pe-ROI 4 test,0.9522019174089058
519,pe-ROI 4 test,0.9381235635399338
