,Train dataset,,,,Test dataset,,,
ROI,Participant number,Between subject,Within subject,Internal consistency,Participant number,Between subject,Within subject,Internal consistency
1,1,1.53E-05,9.79E-06,.94,1,1.26E-05,2.43E-05,.81
,2,,2.32E-05,.72,2,,1.65E-05,.82
,3,,2.68E-05,.62,3,,1.53E-05,.82
,4,,1.47E-05,.97,4,,1.80E-05,.86
,5,,1.86E-05,.80,5,,2.06E-05,.72
,6,,2.91E-05,.92,6,,7.76E-06,.94
,7,,1.89E-05,.91,7,,2.59E-05,.75
,8,,2.23E-05,.81,8,,2.22E-05,.83
,9,,3.49E-05,.65,9,,1.75E-05,.86
,10,,1.54E-05,.97,10,,1.56E-05,.89
,11,,1.78E-05,.90,11,,1.99E-05,.92
,12,,2.66E-05,.92,12,,1.65E-05,.95
,13,,1.91E-05,.79,13,,3.44E-05,.74
,14,,2.70E-05,.66,14,,2.54E-05,.83
,15,,1.45E-05,.95,15,,1.71E-05,.87
,16,,1.25E-05,.90,16,,2.52E-05,.84
,17,,1.66E-05,.88,17,,2.59E-05,.78
,18,,2.97E-05,.91,18,,6.71E-06,.98
,19,,3.08E-05,.81,19,,2.04E-05,.84
,20,,2.65E-05,.77,20,,2.12E-05,.87
,21,,2.11E-05,.90,21,,1.04E-05,.92
,22,,2.22E-05,.81,22,,3.02E-05,.73
,23,,1.41E-05,.95,23,,1.92E-05,.95
,24,,2.52E-05,.77,24,,1.83E-05,.86
,25,,2.32E-05,.86,25,,2.85E-05,.80
,26,,2.35E-05,.88,26,,2.36E-05,.90
,27,,1.98E-05,.80,27,,1.98E-05,.90
,28,,1.75E-05,.94,28,,1.95E-05,.88
,29,,1.32E-05,.89,29,,2.05E-05,.86
,30,,1.71E-05,.94,30,,2.54E-05,.80
,31,,2.90E-05,.69,31,,2.63E-05,.82
,32,,2.23E-05,.82,32,,1.87E-05,.72
,33,,2.88E-05,.69,33,,1.78E-05,.90
,34,,3.49E-05,.73,34,,1.31E-05,.96
,35,,1.80E-05,.92,,,,
,36,,1.53E-05,.97,,,,
,37,,2.85E-05,.74,,,,
,38,,1.81E-05,.93,,,,
,39,,1.47E-05,.94,,,,
,40,,1.64E-05,.98,,,,
,41,,1.88E-05,.87,,,,
,42,,2.21E-05,.92,,,,
,43,,3.11E-05,.54,,,,
,44,,2.75E-05,.88,,,,
,45,,2.76E-05,.65,,,,
,46,,1.55E-05,.98,,,,
,47,,1.95E-05,.92,,,,
,48,,2.02E-05,.96,,,,
,49,,2.52E-05,.91,,,,
,50,,2.25E-05,.87,,,,
,51,,2.82E-05,.59,,,,
,52,,1.76E-05,.82,,,,
,53,,1.15E-05,.95,,,,
,54,,2.14E-05,.88,,,,
,55,,2.18E-05,.81,,,,
,56,,2.20E-05,.90,,,,
,57,,1.92E-05,.89,,,,
,58,,3.21E-05,.71,,,,
,59,,1.79E-05,.95,,,,
,60,,1.70E-05,.80,,,,
,61,,2.63E-05,.79,,,,
,62,,2.61E-05,.70,,,,
,63,,7.38E-06,.95,,,,
,64,,1.56E-05,.90,,,,
,65,,4.05E-05,.61,,,,
,66,,2.14E-05,.92,,,,
,67,,1.97E-05,.95,,,,
,68,,1.49E-05,.95,,,,
,69,,2.01E-05,.93,,,,
,70,,2.26E-05,.76,,,,
,71,,2.73E-05,.85,,,,
,72,,1.60E-05,.94,,,,
,73,,1.57E-05,.97,,,,
,74,,2.29E-05,.91,,,,
,75,,2.25E-05,.95,,,,
,76,,2.16E-05,.94,,,,
,77,,1.86E-05,.93,,,,
,78,,1.33E-05,.96,,,,
,79,,2.74E-05,.86,,,,
,80,,2.60E-05,.79,,,,
,81,,2.73E-05,.65,,,,
,82,,2.11E-05,.82,,,,
,83,,7.28E-06,.96,,,,
,84,,3.78E-05,.66,,,,
,85,,2.79E-05,.77,,,,
,86,,2.38E-05,.74,,,,
,87,,1.26E-05,.97,,,,
,88,,2.91E-05,.84,,,,
,89,,1.76E-05,.96,,,,
,90,,2.17E-05,.89,,,,
,91,,2.28E-05,.95,,,,
,92,,3.02E-05,.84,,,,
,93,,1.56E-05,.96,,,,
,94,,1.56E-05,.93,,,,
,95,,3.87E-05,.68,,,,
,96,,2.22E-05,.88,,,,
2,1,1.85E-05,1.24E-05,.93,1,1.57E-05,2.99E-05,.82
,2,,2.89E-05,.71,2,,1.90E-05,.84
,3,,3.13E-05,.63,3,,1.92E-05,.82
,4,,1.63E-05,.98,4,,2.27E-05,.86
,5,,2.25E-05,.80,5,,1.69E-05,.85
,6,,3.56E-05,.92,6,,1.14E-05,.92
,7,,2.32E-05,.91,7,,3.21E-05,.75
,8,,2.78E-05,.80,8,,2.58E-05,.85
,9,,4.14E-05,.66,9,,1.99E-05,.88
,10,,1.85E-05,.97,10,,1.81E-05,.91
,11,,2.19E-05,.90,11,,2.71E-05,.90
,12,,3.17E-05,.92,12,,2.00E-05,.96
,13,,2.29E-05,.80,13,,3.91E-05,.77
,14,,3.27E-05,.66,14,,3.14E-05,.83
,15,,1.77E-05,.95,15,,2.09E-05,.88
,16,,1.64E-05,.88,16,,3.19E-05,.84
,17,,2.15E-05,.87,17,,3.14E-05,.80
,18,,3.60E-05,.91,18,,8.46E-06,.98
,19,,3.64E-05,.81,19,,2.37E-05,.86
,20,,3.26E-05,.76,20,,2.54E-05,.88
,21,,1.88E-05,.95,21,,1.34E-05,.91
,22,,2.62E-05,.82,22,,3.72E-05,.74
,23,,1.84E-05,.94,23,,2.21E-05,.96
,24,,2.86E-05,.79,24,,2.18E-05,.88
,25,,2.92E-05,.85,25,,3.47E-05,.81
,26,,2.95E-05,.87,26,,3.03E-05,.89
,27,,2.69E-05,.77,27,,2.35E-05,.91
,28,,1.94E-05,.95,28,,2.29E-05,.89
,29,,1.54E-05,.90,29,,2.40E-05,.88
,30,,1.88E-05,.95,30,,2.97E-05,.82
,31,,3.61E-05,.68,31,,3.00E-05,.85
,32,,2.63E-05,.83,32,,2.15E-05,.76
,33,,3.50E-05,.69,33,,2.16E-05,.91
,34,,3.93E-05,.75,34,,1.57E-05,.96
,35,,2.07E-05,.93,,,,
,36,,1.80E-05,.97,,,,
,37,,3.25E-05,.76,,,,
,38,,2.43E-05,.91,,,,
,39,,1.87E-05,.93,,,,
,40,,1.93E-05,.98,,,,
,41,,2.31E-05,.86,,,,
,42,,2.88E-05,.91,,,,
,43,,3.86E-05,.53,,,,
,44,,3.25E-05,.88,,,,
,45,,3.23E-05,.66,,,,
,46,,1.88E-05,.98,,,,
,47,,2.33E-05,.93,,,,
,48,,2.45E-05,.96,,,,
,49,,3.00E-05,.91,,,,
,50,,2.66E-05,.88,,,,
,51,,3.21E-05,.62,,,,
,52,,2.05E-05,.83,,,,
,53,,1.46E-05,.95,,,,
,54,,2.51E-05,.89,,,,
,55,,2.66E-05,.81,,,,
,56,,2.64E-05,.90,,,,
,57,,2.14E-05,.91,,,,
,58,,3.70E-05,.73,,,,
,59,,2.25E-05,.95,,,,
,60,,2.34E-05,.76,,,,
,61,,3.92E-05,.71,,,,
,62,,2.96E-05,.73,,,,
,63,,1.04E-05,.94,,,,
,64,,1.84E-05,.90,,,,
,65,,4.84E-05,.61,,,,
,66,,2.52E-05,.93,,,,
,67,,2.50E-05,.94,,,,
,68,,1.77E-05,.95,,,,
,69,,2.43E-05,.93,,,,
,70,,2.78E-05,.75,,,,
,71,,3.29E-05,.85,,,,
,72,,2.10E-05,.93,,,,
,73,,2.29E-05,.96,,,,
,74,,2.75E-05,.91,,,,
,75,,2.90E-05,.95,,,,
,76,,2.64E-05,.94,,,,
,77,,2.26E-05,.93,,,,
,78,,1.20E-05,.98,,,,
,79,,3.55E-05,.84,,,,
,80,,3.44E-05,.76,,,,
,81,,3.56E-05,.62,,,,
,82,,2.84E-05,.79,,,,
,83,,6.78E-06,.98,,,,
,84,,4.62E-05,.66,,,,
,85,,3.39E-05,.76,,,,
,86,,2.83E-05,.75,,,,
,87,,1.53E-05,.97,,,,
,88,,3.55E-05,.84,,,,
,89,,2.13E-05,.96,,,,
,90,,2.57E-05,.89,,,,
,91,,2.81E-05,.95,,,,
,92,,3.49E-05,.85,,,,
,93,,1.90E-05,.96,,,,
,94,,1.82E-05,.94,,,,
,95,,4.77E-05,.68,,,,
,96,,2.73E-05,.88,,,,